JWAP,begin,end
0,0,0
1,0,4
2,5,9
3,10,14
4,15,19
5,20,24
6,25,29
7,30,39
8,40,44
9,45,49
10,50,59
11,60,64
12,65,69
13,70,74
14,75,79
15,80,84
16,85,89
17,90,94
18,95,99
19,100,104
20,105,109
21,110,119
22,120,124
23,125,129
24,130,134
25,135,139
26,140,144
27,145,149
28,150,154
29,155,159
30,160,164
31,165,169
32,170,174
33,175,179
34,180,184
35,185,189
36,190,194
37,195,199
38,200,204
39,205,209
40,210,214
41,215,219
42,220,224
43,225,229
44,230,234
45,235,239
46,240,244
47,245,249
48,250,254
49,255,259
50,260,264
51,265,269
52,270,274
53,275,279
54,280,284
55,285,289
56,290,294
57,295,299
58,300,304
59,305,309
60,310,314
61,315,319
62,320,324
63,325,329
64,330,334
65,335,339
66,340,344
67,345,349
68,350,354
69,355,359
70,360,364
71,365,369
72,370,374
73,375,379
74,380,384
75,385,389
76,390,394
77,395,399
78,400,404
79,405,409
80,410,414
81,415,419
82,420,424
83,425,429
84,430,434
85,435,439
86,440,444
87,445,449
88,450,454
89,455,459
90,460,464
91,465,469
92,470,474
93,475,479
94,480,484
95,485,489
96,490,494
97,495,499
98,500,504
99,505,509
100,510,514
101,515,519
102,520,524
103,525,529
104,530,534
105,535,539
106,540,544
107,545,549
108,550,554
109,555,559
110,560,564
111,565,569
112,570,574
113,575,579
114,580,584
115,585,589
116,590,594
117,595,599
118,600,604
119,605,609
120,610,614
121,615,619
122,620,624
123,625,629
124,630,634
125,635,639
126,640,644
127,645,649
128,650,654
129,655,659
130,660,664
131,665,669
132,670,674
133,675,679
134,680,684
135,685,689
136,690,694
137,695,699
138,700,704
139,705,709
140,710,714
141,715,719
142,720,724
143,725,729
144,730,734
145,735,739
146,740,744
147,745,749
148,750,754
149,755,759
150,760,764
151,765,769
152,770,774
153,775,779
154,780,784
155,785,789
156,790,794
157,795,799
158,800,804
159,805,809
160,810,814
161,815,819
162,820,824
163,825,829
164,830,834
165,835,839
166,840,844
167,845,849
168,850,854
169,855,859
170,860,864
171,865,869
172,870,874
173,875,879
174,880,884
175,885,889
176,890,894
177,895,899
178,900,904
179,905,909
180,910,914
181,915,919
182,920,924
183,925,929
184,930,934
185,935,939
186,940,944
187,945,949
188,950,954
189,955,959
190,960,964
191,965,969
192,970,974
193,975,979
194,980,984
195,985,989
196,990,994
197,995,999
198,1000,1004
199,1005,1009
200,1010,1014
201,1015,1019
202,1020,1024
203,1025,1029
204,1030,1034
205,1035,1039
206,1040,1044
207,1045,1049
208,1050,1054
209,1055,1059
210,1060,1064
211,1065,1069
212,1070,1074
213,1075,1079
214,1080,1084
215,1085,1089
216,1090,1094
217,1095,1099
218,1100,1104
219,1105,1109
220,1110,1114
221,1115,1119
222,1120,1124
223,1125,1129
224,1130,1134
225,1135,1139
226,1140,1144
227,1145,1149
228,1150,1154
229,1155,1159
230,1160,1164
231,1165,1169
232,1170,1174
233,1175,1179
234,1180,1184
235,1185,1189
236,1190,1194
237,1195,1199
238,1200,1204
239,1205,1209
240,1210,1214
241,1215,1219
242,1220,1224
243,1225,1229
244,1230,1234
245,1235,1239
246,1240,1244
247,1245,1249
248,1250,1254
249,1255,1259
250,1260,1264
251,1265,1269
252,1270,1274
253,1275,1279
254,1280,1284
255,1285,1289
256,1290,1294
257,1295,1299
258,1300,1304
259,1305,1309
260,1310,1314
261,1315,1319
262,1320,1324
263,1325,1329
264,1330,1334
265,1335,1339
266,1340,1344
267,1345,1349
268,1350,1354
269,1355,1359
270,1360,1364
271,1365,1369
272,1370,1374
273,1375,1379
274,1380,1384
275,1385,1389
276,1390,1394
277,1395,1399
278,1400,1404
279,1405,1409
280,1410,1414
281,1415,1419
282,1420,1424
283,1425,1429
284,1430,1434
285,1435,1439
