JWDP,begin,end
0,0,0
1,0,29
2,30,59
3,60,89
4,90,119
5,120,149
6,150,179
7,180,189
8,190,199
9,200,209
10,210,219
11,220,229
12,230,239
13,240,249
14,250,259
15,260,269
16,270,279
17,280,289
18,290,299
19,300,304
20,305,309
21,310,314
22,315,319
23,320,324
24,325,329
25,330,334
26,335,339
27,340,344
28,345,349
29,350,354
30,355,359
31,360,364
32,365,369
33,370,374
34,375,379
35,380,384
36,385,389
37,390,394
38,395,399
39,400,404
40,405,409
41,410,414
42,415,419
43,420,424
44,425,429
45,430,434
46,435,439
47,440,444
48,445,449
49,450,454
50,455,459
51,460,464
52,465,469
53,470,474
54,475,479
55,480,484
56,485,489
57,490,494
58,495,499
59,500,504
60,505,509
61,510,514
62,515,519
63,520,524
64,525,529
65,530,534
66,535,539
67,540,544
68,545,549
69,550,554
70,555,559
71,560,564
72,565,569
73,570,574
74,575,579
75,580,584
76,585,589
77,590,594
78,595,599
79,600,609
80,610,619
81,620,629
82,630,639
83,640,649
84,650,659
85,660,669
86,670,679
87,680,689
88,690,699
89,700,709
90,710,719
91,720,729
92,730,739
93,740,749
94,750,759
95,760,769
96,770,779
97,780,789
98,790,799
99,800,809
100,810,819
101,820,829
102,830,839
103,840,849
104,850,859
105,860,869
106,870,879
107,880,889
108,890,899
109,900,909
110,910,919
111,920,929
112,930,939
113,940,949
114,950,959
115,960,969
116,970,979
117,980,989
118,990,999
119,1000,1009
120,1010,1019
121,1020,1029
122,1030,1039
123,1040,1049
124,1050,1059
125,1060,1069
126,1070,1079
127,1080,1089
128,1090,1099
129,1100,1109
130,1110,1119
131,1120,1129
132,1130,1139
133,1140,1169
134,1170,1199
135,1200,1229
136,1230,1259
137,1260,1269
138,1270,1279
139,1280,1289
140,1290,1299
141,1300,1309
142,1310,1319
143,1320,1329
144,1330,1339
145,1340,1349
146,1350,1359
147,1360,1369
148,1370,1379
149,1380,1409
150,1410,1439
